"ID","Name","Question","Topic","Type","Answers"
1,"G1001","How many years of research related work do you have?","-","Spectrum","-"
2,"G1002","In which research field is your research work?","-","Single-Choice","A1:Energy;A2:Earth and Environment;A3:Health;A4:Aeronautics, Space and Transport;A5:Matter;A6:Key Technologies;NA:No answer;ND:Not displayed"
3,"G1003","In which Helmholtz research center are you working?","-","Single-Choice","A1:Alfred-Wegener-Institut, Helmholtz-Zentrum für Polar- und Meeresforschung (AWI);A2:Deutsches Elektronen-Synchrotron (DESY);A3:Deutsches Zentrum für Luft- und Raumfahrt (DLR);A4:Deutsches Krebsforschungszentrum (DKFZ);A5:Deutsches Zentrum für Neurodegenerative Erkrankungen (DZNE);A6:Forschungszentrum Jülich;A7:GEOMAR Helmholtz-Zentrum für Ozeanforschung Kiel;A8:GSI Helmholtzzentrum für Schwerionenforschung;A9:Helmholtz-Zentrum Berlin für Materialien und Energie (HZB);A10:Helmholtz-Zentrum Dresden-Rossendorf (HZDR);A11:Helmholtz-Zentrum für Infektionsforschung (HZI);A12:Helmholtz-Zentrum für Informationssicherheit – CISPA;A13:Helmholtz-Zentrum für Umweltforschung - UFZ;A14:Helmholtz-Zentrum Geesthacht Zentrum für Material- und Küstenforschung (HZG);A15:Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt (HMGU);A16:Helmholtz-Zentrum Potsdam - Deutsches GeoForschungsZentrum (GFZ);A17:Karlsruher Institut für Technologie (KIT);A18:Max-Delbrück-Centrum für Molekulare Medizin in der Helmholtz-Gemeinschaft (MDC);A19:Max-Planck-Institut für Plasmaphysik (IPP) (Assoziiertes Mitglied);A20:I am not working in a Helmhholtz research center.;NA:No answer;ND:Not displayed"
4,"G2001","How many years of software development experience do you have?","-","Spectrum","-"
5,"G2002[SQ001]","Which kind of education or training do you have in the area of software development?","It was a core part of my education.","Multiple-Choice","-"
6,"G2002[SQ002]","Which kind of education or training do you have in the area of software development?","I took some courses during my education.","Multiple-Choice","-"
7,"G2002[SQ003]","Which kind of education or training do you have in the area of software development?","I took some courses offered at my research organization.","Multiple-Choice","-"
8,"G2002[SQ004]","Which kind of education or training do you have in the area of software development?","I visited a Software / Data / Library Carpentry workshop.","Multiple-Choice","-"
9,"G2002[SQ005]","Which kind of education or training do you have in the area of software development?","Colleagues at my research organization (informally) introduced / helped me.","Multiple-Choice","-"
10,"G2002[SQ006]","Which kind of education or training do you have in the area of software development?","I learned it by myself.","Multiple-Choice","-"
11,"G2003[SQ001]","Which percentage of your working time is spent on software development?","-","Spectrum","-"
12,"G2004","With how many other developers do you typically develop software together?","-","Single-Choice","A1:0 (it is only me);A2:1;A3:2 - 5;A4:6 - 10;A5:> 10;NA:No answer;ND:Not displayed"
13,"G2005","How many users (including you) typically use your code / software?","-","Single-Choice","A1:1 (myself);A2:2 - 10;A3:> 10;A4:I do not know.;NA:No answer;ND:Not displayed"
14,"G2006[SQ001]","With whom do you share your code / software?","Within my research group.","Single-Choice in Multiple-Choice","A1:Never;A2:Sometimes;A3:Regularly;NA:No answer;ND:Not displayed"
15,"G2006[SQ002]","With whom do you share your code / software?","Within my research organization.","Single-Choice in Multiple-Choice","A1:Never;A2:Sometimes;A3:Regularly;NA:No answer;ND:Not displayed"
16,"G2006[SQ003]","With whom do you share your code / software?","Within my (public) research field.","Single-Choice in Multiple-Choice","A1:Never;A2:Sometimes;A3:Regularly;NA:No answer;ND:Not displayed"
17,"G2006[SQ004]","With whom do you share your code / software?","General Public","Single-Choice in Multiple-Choice","A1:Never;A2:Sometimes;A3:Regularly;NA:No answer;ND:Not displayed"
18,"G3001[SQ001]","What programming language(s) do you use at work?","Assembly language","Multiple-Choice,Free-Text","-"
19,"G3001[SQ002]","What programming language(s) do you use at work?","C","Multiple-Choice,Free-Text","-"
20,"G3001[SQ003]","What programming language(s) do you use at work?","C++","Multiple-Choice,Free-Text","-"
21,"G3001[SQ004]","What programming language(s) do you use at work?","C#","Multiple-Choice,Free-Text","-"
22,"G3001[SQ005]","What programming language(s) do you use at work?","COBOL","Multiple-Choice,Free-Text","-"
23,"G3001[SQ006]","What programming language(s) do you use at work?","Delphi","Multiple-Choice,Free-Text","-"
24,"G3001[SQ007]","What programming language(s) do you use at work?","F#","Multiple-Choice,Free-Text","-"
25,"G3001[SQ008]","What programming language(s) do you use at work?","Fortran","Multiple-Choice,Free-Text","-"
